sector,total_value,unique_stocks,unique_managers,avg_value_per_stock
Technology,210194553000.0,159,76,1321978320.7547169
Financials,101672212000.0,117,64,868993264.9572649
Consumer Staples,81598664000.0,144,66,566657388.8888888
Energy,75870441000.0,176,72,431082051.1363636
Industrials,73141672000.0,133,65,549937383.4586467
Materials,64616081000.0,124,66,521097427.41935486
Communication Services,62874809000.0,125,67,502998472.0
Real Estate,61804662000.0,141,66,438330936.17021275
Consumer Discretionary,58899430000.0,168,68,350591845.2380952
Utilities,50549547000.0,122,69,414340549.1803279
Healthcare,35173462000.0,133,61,264462120.30075186
